Last,First,Team,RateAssist,RateCDefence,RateClearing,RateCoincidentalMinor,RateCRank,RateCShotPct,RateCShotPlus,RateFaceoff,RateFight,RateForechecking,RateGameFatigue,RateGameMisconduct,RateGRank,RateGrossMisconduct,RateHiddenGoalScored,RateHiddenSaveClear,RateHiddenSaveFaceoff,RateHiddenSaveRebound,RateHiddenShotDefender,RateHiddenShotDeflected,RateHiddenShotOnGoal,RateHiddenShotWide,RateInactive,RateInjuryFactor,RateIntimidation,RateLDDefence,RateLDRank,RateLDShotPct,RateLDShotPlus,RateLWDefense,RateLWRank,RateLWShotPct,RateLWShotPlus,RateMajor,RateMatch,RateMinor,RateMisconduct,RatePassing,RatePenaltyKilling,RatePhysical,RatePosition,RateRDDefence,RateRDRank,RankRDShotPct,RateRDShotPlus,RateRock,RateRookie,RateRwDefence,RateRWRank,RateRWShotPct,RateRWShotPlus,RateSDefence,RateShiftFatigue,RateShotBlocking,RateSkating,RateSpeed,RateSShotPct,RateSShotPlus,RealAssists,RealBlockedShots,RealCornersLost,RealCornersWon,RealCurrentPointStreak,RealEmptyNetGoals,RealFaceoffsLost,RealFaceoffsWon,RealFightsLost,RealFightsTied,RealFightsWon,RealGAA,RealGamesPlayed,RealGameTyingGoals,RealGameWinningGoals,RealGoals,RealGoalsAgainst,RealHits,RealLongestPointStreak,RealLosses,RealMinutes,RealPassesCompleted,RealPassesIncomplete,RealPenaltyMinutes,RealPlusMinus,RealPoints,RealPowerplayGoals,RealSavePct,RealSaves,RealShorthandedGoals,RealShotsOnGoal,RealShutouts,RealTies,RealWins,SimAssists,SimAssistsLastGame,SimBlockedShots,SimCoincidentalMinors,SimCornersLost,SimCornersWon,SimCurrentPointStreak,SimDaysInjured,SimEmptyNetGoals,SimFaceoffsLost,SimFaceoffsWon,SimFights,SimFightsLost,SimFightsTied,SimFightsWon,SimGAA,SimGameMisconducts,SimGamesPlayed,SimGameTyingGoals,SimGameWinningGoals,SimGoals,SimGoalsAgainst,SimGoalsLastGame,SimGrossMisconducts,SimHits,SimLongestPointStreak,SimLosses,SimMajors,SimMatches,SimMinors,SimMinutes,SimMisconducts,SimPassesCompleted,SimPassesIncomplete,SimPenaltiesInMinutes,SimPlusMinus,SimPoints,SimPowerPlayGoals,SimSavePct,SimSaves,SimShorthandedGoals,SimShotsOnGoal,SimShutouts,SimTies,SimWins,Unused1,Unused2,Unused3,Unused4,Unused5,Unused6
Ovechkin,Alex,WSH,99,0,0,1,,0,0,0,0,3,1230,0,,0,86,3,0,10,0,0,130,0,0,5,4,0,,0,0,3,1,30,76,0,0,1,0,5,0,5,LW,0,,0,0,0,N,0,,0,0,0,90,0,4,4,30,76,40,25,0,0,0,0,9,4,0,0,0,0,77,0,5,50,0,156,0,0,1584,0,0,18,8,90,16,0,0,1,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Malkin,Evgeni,PIT,152,1,0,3,1,31,66,2,0,2,1095,0,,0,86,3,0,10,6,3,90,0,0,41,2,0,,0,0,0,,0,0,0,0,1,0,4,0,1,C,0,,0,0,0,N,0,,0,0,0,90,0,4,4,31,66,22,18,0,0,0,0,212,164,0,0,0,0,41,0,5,20,0,21,0,0,752,0,0,24,-10,42,9,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Ladd,Andrew,ARI,6,0,0,1,,0,0,0,1,2,840,0,,0,86,3,0,10,35,17,32,15,0,31,2,0,,0,0,2,1,25,52,0,0,2,999,2,0,3,LW,0,,0,0,0,N,2,2,25,52,0,90,1,1,2,25,52,5,33,0,0,0,0,3,7,0,1,0,0,51,0,0,7,0,68,0,0,720,0,0,47,-20,12,3,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Wheeler,Blake,WPG,999,0,0,0,,0,0,0,0,3,1170,0,,0,86,3,0,10,7,3,89,0,0,17,3,0,,0,0,0,,0,0,0,0,2,0,5,0,2,RW,0,,0,0,0,N,2,1,20,43,0,90,0,3,3,20,20,43,37,0,0,0,0,17,4,0,0,0,0,65,0,2,17,0,62,0,0,1270,0,0,36,-15,60,3,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Radulov,Alexander,DAL,105,0,0,1,,0,0,0,0,2,840,0,,0,86,3,0,10,20,13,61,5,0,11,2,0,,0,0,0,,0,0,0,0,2,0,4,0,2,RW,0,,0,0,0,N,1,1,9,14,0,90,1,3,3,9,9,18,48,0,0,0,0,12,10,0,0,0,0,71,0,2,4,0,43,0,0,1001,0,0,30,-20,22,1,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Goligoski,Alex,MIN,67,0,3,1,,0,0,0,0,0,1140,0,,0,86,3,0,10,24,11,52,12,0,10,1,3,1,5,18,0,,0,0,0,0,2,0,3,0,3,LD,3,2,5,4,0,N,0,,0,0,0,120,0,3,2,5,18,28,96,0,0,0,0,0,0,0,0,0,0,72,0,0,2,0,56,0,0,1363,0,0,34,41,30,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Sekera,Andrej,DAL,6,0,2,1,,0,0,0,0,0,825,0,,0,86,3,0,10,30,16,37,16,0,50,1,2,1,8,1,0,,0,0,0,0,3,0,2,0,2,LD,2,2,8,1,0,N,0,,0,0,0,120,0,2,2,8,1,3,25,0,0,0,0,0,0,0,0,0,0,32,0,0,1,0,15,0,0,439,0,0,16,-3,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Edler,Alexander,LAK,137,0,3,2,,0,0,0,0,0,1110,0,,0,86,3,0,10,7,7,85,0,0,41,2,4,1,11,69,0,,0,0,0,0,5,0,3,0,3,LD,0,,0,0,0,N,0,,0,0,0,120,1,3,1,11,69,16,70,0,0,0,0,0,0,0,0,0,0,41,0,1,3,0,56,0,0,757,0,0,34,18,19,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Stastny,Paul,WPG,134,4,0,0,2,30,65,2,0,3,1065,0,,0,86,3,0,10,18,11,63,7,0,11,2,0,,0,0,4,1,30,65,0,0,1,0,4,0,1,LW,0,,0,0,0,N,0,,0,0,0,90,0,3,3,30,65,24,27,0,0,0,0,205,267,0,0,0,0,71,0,2,21,0,27,0,0,1263,0,0,14,14,45,4,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Crosby,Sidney,PIT,999,3,0,1,1,30,51,3,0,4,1200,0,,0,86,3,0,10,0,0,185,0,0,13,2,0,,0,0,0,,0,0,0,0,1,0,5,0,1,C,0,,0,0,0,N,0,,0,0,0,90,0,5,4,30,51,53,37,0,0,0,0,690,760,0,0,0,0,69,0,9,31,0,50,0,0,1378,0,0,32,19,84,8,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
J.Johnson,Jack,COL,4,0,3,1,,0,0,0,1,0,1005,999,,0,86,3,0,10,34,23,22,20,0,8,3,2,1,4,1,0,,0,0,3,0,1,0,3,0,3,LD,0,,0,0,0,N,0,,0,0,0,120,0,3,2,4,1,8,68,0,0,0,0,0,0,0,1,0,0,74,0,0,1,0,91,0,0,1240,0,0,42,5,9,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Kopitar,Anze,LAK,184,5,0,1,1,18,31,5,0,5,1245,0,,0,86,3,0,10,18,9,69,3,0,1,2,0,,0,0,0,,0,0,0,0,1,0,5,1,1,C,0,,0,0,0,N,0,,0,0,0,90,0,4,4,18,31,48,71,0,0,0,0,651,858,0,0,0,0,81,0,4,19,0,72,0,0,1682,0,0,14,-6,67,6,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
M.Staal,Marc,DET,28,0,3,1,,0,0,0,0,0,1050,0,,0,86,3,0,10,25,17,44,13,0,11,3,3,1,8,40,0,,0,0,0,0,1,0,3,0,3,LD,0,,0,0,0,N,0,,0,0,0,120,0,2,2,8,40,13,75,0,0,0,0,0,0,0,0,0,0,71,0,1,3,0,94,0,0,1237,0,0,28,-1,16,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Oshie,T.J.,WSH,13,0,0,0,,0,0,1,0,4,1050,0,,0,86,3,0,10,45,13,20,21,0,38,3,0,,0,0,0,,0,0,0,0,1,0,4,0,4,RW,0,,0,0,1,N,3,1,29,44,0,90,0,4,4,29,29,14,30,0,0,0,0,97,72,0,0,0,0,44,0,1,11,0,86,0,0,768,0,0,18,-12,25,4,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Cogliano,Andrew,SJS,232,0,0,0,,0,0,0,0,4,795,0,,0,86,3,0,10,17,10,66,6,0,26,2,0,,0,0,4,1,14,22,0,0,1,0,3,1,3,LW,0,,0,0,0,N,0,,0,0,0,90,0,4,3,14,22,11,21,0,0,0,0,12,8,0,0,0,0,56,0,0,4,0,82,0,0,739,0,0,12,-16,15,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Cogliano,Andrew,COL,0,0,0,5,,0,0,0,0,4,660,0,,0,86,3,0,10,34,16,31,18,0,64,2,0,,0,0,4,1,0,0,0,0,1,0,3,1,3,LW,0,,0,0,0,N,0,,0,0,0,90,0,4,3,0,0,1,10,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,22,0,0,198,0,0,8,-2,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Neal,James,STL,19,0,0,0,,0,0,0,0,1,720,0,,0,86,3,0,10,22,10,57,10,0,63,2,0,,0,0,1,2,13,23,0,0,0,0,2,0,2,RW,0,,0,0,0,N,1,1,13,23,0,90,0,2,2,13,23,2,3,0,0,0,0,2,0,0,0,0,0,19,0,1,2,0,17,0,0,227,0,0,0,-1,4,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
M.Vlasic,Marc-Edouard,SJS,27,0,3,1,,0,0,0,0,0,915,0,,0,86,3,0,10,28,21,36,14,0,7,2,4,1,10,53,0,,0,0,0,0,1,0,3,0,2,LD,0,,0,0,0,N,0,,0,0,0,120,1,3,2,10,53,11,90,0,0,0,0,0,0,0,0,0,0,75,0,0,3,0,54,0,0,1141,0,0,18,-22,14,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
Letang,Kris,PIT,129,0,3,1,,0,0,0,1,0,1545,0,,0,86,3,0,10,3,1,94,1,0,4,4,0,,0,0,0,,0,0,0,0,2,0,5,0,4,RD,4,1,9,6,0,N,0,,0,0,0,120,0,5,4,9,6,58,122,0,0,0,0,0,0,0,1,0,0,78,0,3,10,0,171,0,0,2011,0,0,49,20,68,2,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,
