Player,Age,Tm,Pos,GP,G,A,PTS,PlusMin,PIM,PS,G-EV,G-PP,G-SH,G-GW,A-EV,A-PP,A-SH,SOG,ShotPerc,TOI,ATOI,BLK,HIT,FOW,FOL,FOPerc,UID,season,CorsiFor,CorsiAgainst,CorsiForPerc,CorsiForPercRel,FenwickF,FenwickA,FenwickPerc,FenwickPercRel,TeamOnIceShootPerc,TeamOnIceSavePerc,ShootPercPlusSavePerc,OZoneStartPerc,DZoneStartPerc,ATOIEV,TakeAways,GiveAways,EPlusMin,ShotAttempts,ShotThruPerc,GoalsCreated,GPerGame,APerGame,PtsPerGame,GoalsCreatedPerGame,SOGPerGameAdjusted,GAdjusted,AAdjusted,PtsAdjusted,GCAdjusted,TotGF,TotPPGF,TotGA,TotPPGA,XGF,XGA,XPlusMin,OPS,DPS,TotPS,ShootoutMiss,ShiftLength,CorsiForRelES,GFPer60,GAPer60,ATOIPP,PPCorsiPercRel,PPGFPer60,PPGAPer60,ATOISH,CorsiForRelSH,SHFPPer60,SHGAPer60
Olle Alsing,24,OTT,D,4,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,1,0.0,43,10:50,2,4,0,0,,alsinol01,20-21,30,39,43.5,-2.2,20,33,37.7,-9.0,11.1,92.9,104.0,60.9,39.1,10:49,1,2,-1.3,3.0,33.3,0,0.0,0.0,0.0,0.0,0.25,0,0,0,0,1,0,2,0,0.8,2.2,-1.3,-0.1,0.0,0.0,,0:41,-2.2,1.4,2.8,0:00,,0.0,0.0,0:00,,,
Mark Alt,29,LAK,D,2,0,0,0,0,2,0.0,0,0,0,0,0,0,0,3,0.0,27,13:35,1,2,0,0,,altma01,20-21,15,21,41.7,2.3,12,17,41.4,-0.4,0.0,100.0,100.0,60.0,40.0,12:09,0,0,-1.4,4.0,75.0,0,0.0,0.0,0.0,0.0,1.5,0,0,0,0,0,0,0,0,0.3,1.7,-1.4,0.0,0.1,0.0,,0:44,2.3,0.0,0.0,0:26,,0.0,0.0,0:54,-9.5,0.0,0.0
Michael Amadio,24,TOT,C,25,0,3,3,-3,4,-0.2,0,0,0,0,2,1,0,24,0.0,314,12:33,16,8,94,94,50.0,amadimi01,20-21,237,269,46.8,-0.1,177,206,46.2,-1.3,5.8,93.0,98.8,56.0,44.0,11:05,3,8,-4.0,,,1,0.0,0.12,0.12,0.03,0.96,0,4,4,1,9,1,11,0,10.3,14.3,-4.0,-0.6,0.3,-0.2,,0:38,-3.5,1.4,2.8,1:21,-0.1,1.9,0.0,0:05,32.9,0.0,0.0
Joey Anderson,22,TOR,RW,1,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,,10,9:36,3,0,0,1,0.0,anderjo08,20-21,5,12,29.4,-14.5,1,9,10.0,-34.4,,100.0,,57.1,42.9,9:36,0,1,-0.5,0.0,,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.5,-0.5,0.0,0.0,0.0,,0:40,-14.5,0.0,0.0,0:00,,,,0:00,,,
Josh Anderson,26,MTL,RW,52,17,7,24,-10,38,2.5,15,1,1,5,6,1,0,125,13.6,854,16:25,25,139,7,5,58.3,anderjo05,20-21,671,626,51.7,-2.6,487,468,51.0,-2.4,7.8,89.3,97.1,56.0,44.0,14:24,17,12,2.2,218.0,57.3,11,0.33,0.13,0.46,0.22,2.4,26,10,36,17,34,6,36,0,27.8,25.7,2.2,1.9,0.6,2.5,,0:51,-2.6,2.2,2.9,1:53,-0.1,3.6,0.0,0:04,19.2,11.1,0.0
Michael Anderson,21,LAK,D,54,1,10,11,0,30,2.9,1,0,0,1,8,0,2,52,1.9,1144,21:11,74,66,0,0,,andermi02,20-21,788,849,48.1,0.9,596,647,47.9,0.1,8.2,92.1,100.3,46.8,53.2,19:04,14,34,-0.9,110.0,47.3,3,0.02,0.19,0.2,0.06,0.96,2,15,17,5,38,0,52,15,37.4,38.3,-0.9,-0.1,3.1,2.9,,0:44,0.9,2.1,2.1,0:05,-28.9,0.0,11.4,2:00,-0.8,1.1,8.3
Jaret Anderson-Dolan,21,LAK,C,34,7,4,11,-9,6,0.9,6,1,0,2,4,0,0,37,18.9,459,13:31,20,52,132,170,43.7,anderja01,20-21,289,413,41.2,-7.7,220,316,41.0,-8.6,9.9,88.6,98.5,47.9,52.1,11:32,4,7,-5.0,65.0,56.9,5,0.21,0.12,0.32,0.14,1.09,11,6,17,8,17,1,26,1,15.1,20.0,-5.0,0.6,0.3,0.9,,0:37,-7.7,2.4,3.7,1:00,-9.5,1.7,1.7,0:57,-0.2,0.0,1.8
Lias Andersson,22,LAK,C,23,3,3,6,-4,12,0.4,3,0,0,0,3,0,0,23,13.0,278,12:04,9,8,20,32,38.5,anderli01,20-21,198,260,43.2,-1.5,154,203,43.1,-0.9,12.5,88.7,101.2,42.4,57.6,11:25,3,5,-3.4,37.0,62.2,2,0.13,0.13,0.26,0.11,1.0,5,4,9,4,13,0,17,0,8.9,12.2,-3.4,0.2,0.2,0.4,1.0,0:30,-1.5,3.0,3.9,0:14,-9.0,0.0,0.0,0:23,-5.7,0.0,0.0
Rasmus Andersson,24,CGY,D,56,5,16,21,-9,34,3.2,4,1,0,0,11,5,0,96,5.2,1189,21:13,68,49,0,0,,anderra01,20-21,885,889,49.9,-4.7,647,688,48.5,-6.3,9.0,89.5,98.5,52.0,48.0,17:32,16,39,0.6,197.0,48.7,7,0.09,0.29,0.38,0.12,1.71,8,24,32,11,56,15,57,3,39.1,38.4,0.6,1.2,2.0,3.2,,0:52,-4.7,2.5,3.1,2:44,-4.3,5.9,1.2,0:49,3.1,0.0,3.4
Andy Andreoff,29,PHI,LW,6,0,0,0,-6,9,-0.3,0,0,0,0,0,0,0,2,0.0,52,8:37,1,14,15,9,62.5,andrean01,20-21,29,46,38.7,-19.0,25,34,42.4,-12.5,0.0,75.0,75.0,50.0,50.0,8:34,1,0,-2.5,4.0,50.0,0,0.0,0.0,0.0,0.0,0.33,0,0,0,0,0,0,6,0,0.8,3.3,-2.5,-0.1,-0.2,-0.3,,0:28,-19.0,0.0,7.0,0:01,,0.0,0.0,0:00,,0.0,0.0
Anthony Angello,24,PIT,C,19,2,2,4,4,8,0.5,1,1,0,0,2,0,0,19,10.5,152,7:59,2,51,0,0,,angelan01,20-21,109,102,51.7,4.3,89,71,55.6,8.5,7.0,98.1,105.2,42.6,57.4,7:11,1,1,0.9,27.0,70.4,2,0.11,0.11,0.21,0.09,1.0,3,3,6,2,6,1,1,0,3.8,2.9,0.9,0.2,0.3,0.5,,0:39,4.3,2.2,0.4,0:48,2.2,3.9,0.0,0:00,-15.4,,
Artem Anisimov,32,OTT,C,19,2,7,9,1,2,0.8,1,1,0,0,7,0,0,30,6.7,228,12:02,9,9,36,52,40.9,anisiar01,20-21,171,198,46.3,-2.4,118,139,45.9,-4.4,9.0,94.3,103.3,45.1,54.9,10:09,4,7,-1.5,56.0,53.6,3,0.11,0.37,0.47,0.16,1.58,3,10,13,4,10,3,7,0,6.7,8.1,-1.5,0.5,0.3,0.8,1.0,0:53,-2.4,2.2,1.9,1:50,5.6,5.1,1.7,0:00,-17.2,0.0,0.0
Mason Appleton,25,WPG,C,56,12,13,25,11,14,2.9,12,0,0,1,12,0,1,88,13.6,807,14:25,22,61,7,6,53.8,applema01,20-21,578,648,47.1,-1.7,445,485,47.8,-0.7,10.4,92.7,103.1,42.7,57.3,12:54,13,21,-7.5,140.0,62.9,10,0.21,0.23,0.45,0.18,1.57,18,19,37,15,36,2,32,8,21.8,29.3,-7.5,1.5,1.4,2.9,,0:41,-1.7,2.7,2.0,0:30,1.6,3.9,0.0,0:55,0.9,1.1,9.0
Josh Archibald,28,EDM,RW,52,7,6,13,2,37,1.0,7,0,0,0,6,0,0,62,11.3,704,13:33,35,192,4,4,50.0,archijo01,20-21,442,535,45.2,-4.1,330,390,45.8,-3.3,11.0,91.5,102.5,32.1,67.9,11:16,14,15,-2.7,103.0,60.2,5,0.13,0.12,0.25,0.1,1.19,11,9,20,8,26,0,37,13,19.5,22.2,-2.7,0.1,0.9,1.0,,0:38,-4.1,2.7,2.5,0:03,11.4,0.0,0.0,2:10,0.7,0.0,6.8
Joel Armia,27,MTL,RW,41,7,7,14,10,10,1.6,5,1,1,0,6,0,1,73,9.6,603,14:42,13,86,6,16,27.3,armiajo01,20-21,501,416,54.6,0.5,354,315,52.9,0.1,9.8,90.9,100.8,53.9,46.1,12:28,18,18,4.3,123.0,59.3,6,0.17,0.17,0.34,0.14,1.78,11,10,21,9,32,3,25,5,22.5,18.2,4.3,0.5,1.1,1.6,,0:33,0.5,3.1,2.3,0:44,5.1,6.1,0.0,1:30,-1.4,2.9,4.8
Viktor Arvidsson,27,NSH,LW,50,10,15,25,9,21,2.7,8,2,0,2,14,1,0,151,6.6,830,16:36,33,15,9,18,33.3,arvidvi01,20-21,722,607,54.3,6.7,584,456,56.2,8.5,8.6,92.6,101.2,57.1,42.9,14:20,18,23,5.1,264.0,57.2,10,0.2,0.3,0.5,0.2,3.02,15,22,37,14,45,9,27,0,31.6,26.5,5.1,1.4,1.3,2.7,,0:51,6.7,3.0,2.2,2:09,6.2,4.9,0.5,0:01,-10.2,0.0,0.0
Rasmus Asplund,23,BUF,F,28,7,4,11,1,0,1.4,7,0,0,2,4,0,0,34,20.6,360,12:51,3,15,6,11,35.3,asplura01,20-21,249,309,44.6,-1.0,203,261,43.8,-0.9,9.1,92.7,101.9,42.3,57.7,12:04,14,3,-0.1,45.0,75.6,5,0.25,0.14,0.39,0.18,1.21,11,6,17,8,15,0,17,3,14.3,14.4,-0.1,0.9,0.5,1.4,,0:33,-1.0,2.7,2.5,0:00,,0.0,0.0,0:45,3.4,0.0,8.4
Zach Aston-Reese,26,PIT,C,45,9,6,15,10,15,1.6,8,0,1,0,6,0,0,79,11.4,658,14:37,24,95,7,11,38.9,astonza01,20-21,431,452,48.8,-0.9,339,334,50.4,1.1,8.2,94.2,102.4,32.2,67.8,12:41,14,16,0.1,119.0,66.4,6,0.2,0.13,0.33,0.14,1.76,14,9,23,10,23,0,25,10,20.2,20.2,0.1,0.6,0.9,1.6,,0:38,-0.9,2.3,1.6,0:02,14.0,0.0,0.0,1:52,-5.9,0.7,7.1
Andreas Athanasiou,26,LAK,C,47,10,13,23,-6,27,2.3,10,0,0,1,12,1,0,85,11.8,703,14:57,16,11,4,0,100.0,athanan01,20-21,519,566,47.8,-0.8,393,418,48.5,-0.2,8.9,89.4,98.3,54.1,45.9,13:01,18,10,-0.7,153.0,55.6,9,0.21,0.28,0.49,0.19,1.81,15,19,34,13,28,2,32,0,24.7,25.4,-0.7,1.5,0.8,2.3,,0:39,-0.8,2.5,3.0,1:52,-6.7,1.4,0.7,0:02,8.9,0.0,0.0
Cam Atkinson,31,CBJ,RW,56,15,19,34,-16,4,2.7,10,1,4,2,11,8,0,158,9.5,1060,18:56,30,22,7,23,23.3,atkinca01,20-21,700,788,47.0,0.8,548,592,48.1,1.6,8.8,88.1,96.9,57.9,42.1,14:57,22,45,-6.1,250.0,63.2,13,0.27,0.34,0.61,0.23,2.82,23,28,51,20,52,13,62,9,27.7,33.8,-6.1,2.0,0.7,2.7,6.0,0:43,0.8,2.5,3.8,2:10,11.5,6.4,0.0,1:45,2.7,2.4,5.4
Nicolas Aubé-Kubel,24,PHI,RW,50,3,9,12,-3,44,0.4,3,0,0,0,9,0,0,53,5.7,559,11:10,16,120,2,2,50.0,aubekni01,20-21,443,431,50.7,-1.4,339,329,50.7,-0.6,6.5,93.3,99.8,44.3,55.7,10:58,16,17,-3.0,93.0,57.0,4,0.06,0.18,0.24,0.08,1.06,5,13,18,6,16,1,17,0,16.7,19.6,-3.0,0.0,0.4,0.4,,0:34,-1.4,1.6,1.9,0:09,-10.7,7.5,0.0,0:02,3.9,0.0,0.0
David Backes,36,ANA,C,15,3,1,4,-4,4,0.3,3,0,0,1,1,0,0,30,10.0,191,12:44,16,31,81,79,50.6,backeda01,20-21,138,134,50.7,-2.1,106,97,52.2,-1.0,7.9,84.7,92.6,37.9,62.1,10:57,5,5,-0.7,49.0,61.2,2,0.2,0.07,0.27,0.13,2.0,5,1,6,3,6,0,13,2,5.6,6.3,-0.7,0.2,0.1,0.3,,0:38,-2.1,2.2,4.0,0:16,-1.3,0.0,0.0,1:28,5.7,0.0,5.4
Mikael Backlund,31,CGY,C,54,9,23,32,-7,30,2.4,8,0,1,1,16,6,1,144,6.3,950,17:36,21,43,387,358,51.9,backlmi01,20-21,696,615,53.1,0.2,535,470,53.2,0.9,8.9,88.4,97.3,47.7,52.3,13:56,48,49,7.7,244.0,59.0,11,0.17,0.43,0.59,0.2,2.67,14,35,49,17,45,9,52,11,33.2,25.5,7.7,1.5,0.9,2.4,,0:42,0.2,2.7,2.9,1:38,-4.5,6.0,2.7,1:50,2.5,1.1,6.1
Nicklas Bäckström,33,WSH,C,55,15,38,53,0,14,5.3,10,5,0,0,21,17,0,91,16.5,1023,18:36,27,25,353,378,48.3,backsni02,20-21,699,710,49.6,-0.8,519,539,49.1,-1.1,12.8,89.2,102.0,58.3,41.7,15:11,33,24,4.7,161.0,56.5,19,0.27,0.69,0.96,0.34,1.65,23,57,80,28,76,28,49,3,29.9,25.2,4.7,4.2,1.1,5.3,3.0,0:41,-0.8,3.4,2.9,3:05,6.3,9.9,2.1,0:18,-12.9,0.0,10.6
Kevin Bahl,20,NJD,D,7,0,2,2,0,0,0.3,0,0,0,0,2,0,0,5,0.0,118,16:55,6,18,0,0,,bahlke01,20-21,67,97,40.9,-2.5,48,77,38.4,-5.1,9.4,90.9,100.3,48.3,51.7,15:46,2,4,-2.8,10.0,50.0,1,0.0,0.29,0.29,0.08,0.71,0,3,3,1,4,0,5,0,3.2,6.1,-2.8,0.1,0.2,0.3,,0:32,-2.5,1.6,2.7,0:02,,0.0,0.0,1:03,4.6,7.7,0.0
Josh Bailey,31,NYI,C,54,8,27,35,12,4,3.6,8,0,0,1,18,9,0,77,10.4,945,17:30,19,13,14,18,43.8,bailejo01,20-21,618,705,46.7,-3.0,462,533,46.4,-4.4,11.0,93.2,104.1,51.2,48.8,14:32,19,39,2.7,122.0,63.1,12,0.15,0.5,0.65,0.22,1.43,12,40,52,17,53,15,28,2,31.8,29.1,2.7,1.9,1.7,3.6,2.0,0:34,-3.0,2.9,2.0,2:00,7.8,8.3,0.0,0:56,5.3,0.0,2.3
Justin Bailey,25,VAN,RW,3,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,6,0.0,20,6:48,0,2,0,0,,baileju01,20-21,21,11,65.6,15.6,17,11,60.7,10.7,0.0,80.0,80.0,81.8,18.2,6:46,0,0,0.9,7.0,85.7,0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,2,0,1.4,0.5,0.9,-0.1,-0.1,-0.1,,0:33,15.6,0.0,5.9,0:00,,0.0,0.0,0:00,,,
Rūdolfs Balcers,23,SJS,LW,41,8,9,17,-6,16,1.4,8,0,0,2,8,1,0,66,12.1,603,14:43,29,81,0,3,0.0,balceru01,20-21,476,493,49.1,2.1,370,345,51.7,4.5,8.1,88.4,96.4,48.7,51.3,13:07,31,15,6.6,99.0,66.7,7,0.2,0.22,0.41,0.17,1.61,12,13,25,10,26,4,29,0,27.0,20.3,6.6,1.0,0.4,1.4,,0:52,2.1,2.5,3.2,1:11,8.1,4.9,0.0,0:23,-0.2,0.0,0.0
Alexander Barabanov,26,TOT,F,22,3,5,8,1,6,0.7,2,1,0,1,5,0,0,23,13.0,271,12:19,14,7,0,0,,barabal01,20-21,207,226,47.8,1.9,158,169,48.3,1.9,12.1,88.1,100.2,42.0,58.0,10:58,9,9,2.3,,,3,0.14,0.23,0.36,0.14,1.05,5,7,12,5,17,2,14,0,12.2,10.0,2.3,0.4,0.3,0.7,,0:45,5.8,5.6,5.6,1:20,-6.8,4.1,0.0,0:00,,,
Ivan Barbashev,25,STL,C,38,5,7,12,5,6,1.0,4,1,0,1,7,0,0,43,11.6,507,13:21,15,49,82,107,43.4,barbaiv01,20-21,354,386,47.8,-0.3,269,291,48.0,0.3,8.0,94.7,102.7,49.7,50.3,11:15,9,12,-3.0,71.0,60.6,5,0.13,0.18,0.32,0.12,1.13,8,10,18,7,17,1,17,6,15.0,18.1,-3.0,0.3,0.7,1.0,,0:42,-0.3,2.2,1.5,0:06,9.9,11.6,0.0,1:58,-1.8,0.0,4.8
Aleksander Barkov,25,FLA,C,50,26,32,58,12,14,7.3,18,7,1,6,20,12,0,176,14.8,1047,20:56,37,31,563,463,54.9,barkoal01,20-21,805,550,59.4,8.1,634,434,59.4,7.7,9.8,89.3,99.2,53.8,46.2,15:28,39,23,20.3,261.0,67.4,23,0.52,0.64,1.16,0.46,3.52,40,48,88,35,77,28,53,15,42.8,22.5,20.3,5.9,1.4,7.3,1.0,0:51,8.1,3.7,2.6,3:59,6.9,8.3,1.2,1:25,3.6,0.8,12.6
Alex Barré-Boulet,23,TBL,F,15,3,0,3,0,0,0.2,1,2,0,0,0,0,0,26,11.5,229,15:15,5,8,1,3,25.0,barreal01,20-21,160,130,55.2,3.1,115,99,53.7,1.2,8.1,92.0,100.1,64.5,35.5,12:27,4,4,1.2,47.0,55.3,2,0.2,0.0,0.2,0.11,1.73,5,0,5,3,10,4,7,0,6.4,5.1,1.2,0.0,0.3,0.2,1.0,0:52,3.1,1.9,1.9,2:43,0.8,5.8,1.4,0:00,,0.0,0.0
Tyson Barrie,29,EDM,D,56,8,40,48,5,10,7.3,4,4,0,2,21,19,0,146,5.5,1198,21:24,59,26,0,0,,barrity01,20-21,990,932,51.5,4.6,750,734,50.5,2.8,10.4,90.9,101.3,59.0,41.0,17:44,16,43,-1.5,291.0,50.2,15,0.14,0.71,0.86,0.27,2.61,12,60,72,23,94,36,53,0,45.7,47.2,-1.5,4.3,3.0,7.3,,0:48,4.6,3.5,3.0,3:29,1.1,11.0,1.2,0:07,12.4,0.0,0.0
Morgan Barron,22,NYR,C,5,1,0,1,-1,2,0.1,1,0,0,0,0,0,0,3,33.3,68,13:41,2,12,9,9,50.0,barromo01,20-21,30,50,37.5,0.2,23,43,34.8,-2.1,11.1,89.7,100.8,47.8,52.2,11:49,0,2,-0.8,7.0,42.9,1,0.2,0.0,0.2,0.11,0.6,2,0,2,1,2,0,4,1,1.2,2.0,-0.8,0.0,0.0,0.1,,0:41,0.2,2.0,3.0,0:08,,0.0,0.0,1:35,-13.7,0.0,7.0
Matt Bartkowski,32,MIN,D,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,13,13:02,1,1,0,0,,bartkma01,20-21,6,16,27.3,-27.1,6,13,31.6,-20.4,0.0,87.5,87.5,40.0,60.0,11:22,0,0,-0.5,2.0,100.0,0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,2,1,0.3,0.8,-0.5,0.0,-0.1,-0.1,,0:40,-27.1,0.0,5.3,0:01,,0.0,0.0,1:39,0.0,0.0,36.4
Mathew Barzal,23,NYI,C,55,17,28,45,15,48,5.6,16,1,0,1,21,7,0,134,12.7,1030,18:44,13,22,152,198,43.4,barzama01,20-21,852,703,54.8,9.1,670,513,56.6,10.9,9.8,89.6,99.4,59.4,40.6,16:07,28,45,19.0,217.0,61.8,17,0.31,0.51,0.82,0.31,2.44,26,42,68,26,62,12,38,0,47.9,28.9,19.0,3.6,1.9,5.6,4.0,0:44,9.1,3.4,2.6,2:30,-5.5,5.1,0.0,0:01,0.5,0.0,0.0
Nathan Bastian,23,NJD,RW,41,3,7,10,0,21,0.4,3,0,0,0,7,0,0,46,6.5,517,12:37,25,136,12,21,36.4,bastina01,20-21,376,396,48.7,-1.3,288,305,48.6,-0.3,9.6,91.7,101.3,30.4,69.6,11:13,11,6,-2.4,74.0,62.2,3,0.07,0.17,0.24,0.08,1.12,5,10,15,5,19,0,30,11,15.3,17.7,-2.4,-0.1,0.6,0.4,,0:38,-1.3,2.5,2.5,0:08,0.0,0.0,0.0,1:14,-1.9,0.0,12.9
Drake Batherson,22,OTT,C,56,17,17,34,-17,8,3.2,12,5,0,3,7,10,0,111,15.3,923,16:28,29,102,5,8,38.5,bathedr01,20-21,685,754,47.6,-1.0,518,585,47.0,-2.3,7.2,89.9,97.1,51.9,48.1,13:13,15,25,-0.2,212.0,52.4,14,0.3,0.3,0.61,0.25,1.98,26,25,51,21,45,18,46,0,31.9,32.1,-0.2,2.8,0.4,3.2,1.0,0:48,-1.0,2.2,3.5,3:14,3.0,6.0,1.0,0:00,,0.0,0.0
Gavin Bayreuther,26,CBJ,D,9,1,0,1,-1,7,0.3,1,0,0,0,0,0,0,16,6.3,138,15:23,4,12,0,0,,bayrega01,20-21,114,104,52.3,7.7,92,79,53.8,10.5,4.5,93.3,97.8,59.4,40.6,15:01,5,0,-0.5,32.0,50.0,1,0.11,0.0,0.11,0.06,1.78,2,0,2,1,3,0,4,0,4.9,5.4,-0.5,0.0,0.3,0.3,,0:45,7.7,1.3,1.8,0:00,,0.0,0.0,0:19,4.6,0.0,0.0
Jay Beagle,35,VAN,RW,30,1,4,5,-2,8,0.0,1,0,0,0,4,0,0,21,4.8,376,12:31,8,34,173,135,56.2,beaglja01,20-21,226,262,46.3,-2.0,165,199,45.3,-3.4,7.8,91.9,99.6,26.8,73.2,9:15,11,4,-2.2,38.0,55.3,2,0.03,0.13,0.17,0.06,0.7,2,6,8,3,10,0,26,15,11.0,13.3,-2.2,-0.4,0.4,0.0,,0:42,-2.0,2.2,2.4,0:01,11.1,0.0,0.0,3:14,-10.6,0.0,9.3
